cycle_index,charge_capacity_ah,discharge_capacity_ah,charge_energy_wh,discharge_energy_wh,coulombic_efficiency_pct,energy_efficiency_pct,mean_dcir_ohm,mean_ac_impedance_ohm,mean_temperature_c,capacity_retention_pct
0,0.134,0.003,0.477,0.007,2.2388059701492535,1.4675052410901468,0.0,0.0,0.0,
1,0.002,,0.006,,,,0.0,0.0,0.0,
