cycle_index,charge_capacity_ah,discharge_capacity_ah,charge_energy_wh,discharge_energy_wh,coulombic_efficiency_pct,energy_efficiency_pct,mean_dcir_ohm,mean_ac_impedance_ohm,mean_temperature_c,capacity_retention_pct
0,0.052,,0.186,,,,0.0,0.0,0.0,
1,,,,,,,0.0,0.0,0.0,
2,,,,,,,0.0,0.0,0.0,
3,,,,,,,0.0,0.0,0.0,
